short_description,raw_path
Population self-reported to carpool to work.,https://github.com/uva-bi-sdad/sdc.transportation/raw/main/Population%20Characteristics/data/distribution/ncr_cttr_acs_2016_2020_carpools.csv.xz
Households self-reported to not have a vehicle available at home.,https://github.com/uva-bi-sdad/sdc.transportation/raw/main/Population%20Characteristics/data/distribution/va_cttr_2010_2021_perc_no_car_households.csv.xz
Mean commute time.,https://github.com/uva-bi-sdad/sdc.transportation/raw/main/Population%20Characteristics/data/distribution/ncr_cttr_acs_2016_2020_commutes.csv.xz
Households self-reported to not have a vehicle available at home.,https://github.com/uva-bi-sdad/sdc.transportation/raw/main/Population%20Characteristics/data/distribution/ncr_cttr_acs_2016_2020_vehicles.csv.xz
The percent of males in the total population. Based on American Community Survey ACS 2015/2019 5-year estimates.,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Cooperative%20extension/data/distribution/va_cttr_2010_2021_perc_male.csv.xz
The percent of children in the population being raised by their grandparents. Based on American Community Survey 2010/2021 5-year estimates.,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Cooperative%20extension/data/distribution/va_cttr_2010_2021_perc_children_raised_by_GPs.csv.xz
Total count of the population. Based on American Community Survey ACS 2015/2019 5-year estimates.,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz
The White population percent. Based on American Community Survey ACS 2015/2019 5-year estimates.,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz
Total population ethnique. Based on American Community Survey ACS 2015/2019 5-year estimates.,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz
The Black population. Based on American Community Survey ACS 2015/2019 5-year estimates.,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz
The Native population. Based on American Community Survey ACS 2015/2019 5-year estimates.,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz
The White population. Based on American Community Survey ACS 2015/2019 5-year estimates.,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz
